create mail merge documents using fields supported objects.	erstellen sie seriendruckdokumente mithilfe von objekten, die felder unterstützen.
the history utility lets your lightning console users see their recently visited primary tabs and subtabs from a console utility bar.	mit dem verlaufsdienstprogramm können ihre lightning-konsolenbenutzer ihre zuletzt aufgerufenen hauptregisterkarten und unterregisterkarten über eine konsolen-dienstprogrammleiste anzeigen.
after the apex class submits the supply order, the flow waits for confirmation that the order has been shipped. that confirmation is received through the vendor response platform event.	nachdem die apex-klasse den auftrag zur lieferung von material eingereicht hat, wartet der flow auf die bestätigung, dass der auftrag versendet wurde. die bestätigung wird über das plattformereignis "lieferantenantwort" erhalten.
for example, you can:	beispielsweise haben sie folgende möglichkeiten:
select multiple languages and add the languages you want to include in your knowledge base.	wählen sie mehrere sprachen aus und fügen sie die sprachen hinzu, die in der knowledge base enthalten sein sollen.
feed posts pending approval.	feedposts, deren genehmigung aussteht.
tracking custom field history	nachverfolgen des verlaufs von benutzerdefinierten feldern
you can select one of the following choices:	sie haben die wahl zwischen den folgenden möglichkeiten:
in this case, “smart” totaling correctly calculates any subtotals, grand totals, and averages, adding that opportunity amount only once.	in diesem fall berechnet die "intelligente" summierung alle zwischensummen, gesamtsummen und durchschnittswerte korrekt, indem dieser opportunitybetrag nur einmal berücksichtigt wird.
groups with inactive owners (replaced with 2.0 version)	groups with inactive owners (ersetzt durch version 2.0)
provides information on trending topics, topic assigners, and more.	stellt informationen über trending-themen, themenzuweiser usw. bereit.
if the record doesn’t meet the criteria for any subsequent steps, the record is rejected.	sollte der datensatz die kriterien der nachfolgenden schritte nicht erfüllen, wird der datensatz abgelehnt.
side panel and add email in your outlook configuration	seitlicher bereich und e-mail hinzufügen in ihrer outlook-konfiguration
after a product item is consumed, track it as an asset (an installed or purchased product) and add product details like a serial number.	nachdem ein produktelement verbraucht wurde, verfolgen sie es als einen vermögenswert (ein installiertes oder erworbenes produkt) und fügen sie produktdetails, beispielsweise eine seriennummer, hinzu.
go to your applications folder. you can also type applications in spotlight.	rufen sie ihren anwendungsordner auf. alternativ können sie auch in spotlight applications eingeben.
click the name of your connected app for syncplicity. the connected app detail page appears.	klicken sie auf den namen ihrer verbundenen anwendung für syncplicity. die seite "details zur verbundenen anwendung" wird angezeigt.
you can’t copy status information associated with data integration rules to or from a sandbox. to get status information in your sandbox, activate your data integration rules and process your records in your sandbox.	sie können keine statusinformationen, die mit datenintegrationsregeln verbunden sind, in oder aus einer sandbox kopieren. um statusinformationen in ihrer sandbox abzurufen, müssen sie ihre datenintegrationsregeln in der sandbox aktivieren und ihre datensätze dort verarbeiten.
industry classifications	branchenklassifizierungen
finish the steps in the wizard, and click save  finish.	beenden sie die schritte im assistenten und klicken sie auf speichern und fertig stellen.
select the version of the salesforce api. this is also the version of visualforce used with this template.	wählen sie die version der salesforce-api aus. dies ist auch die version von visualforce, die bei dieser vorlage verwendet wird.
featured topics are accessible from the body of your community home page. thumbnail images you select for featured topics uniquely identify them. (these unique thumbnails appear only on the home page; at the top of all featured topic pages, the default banner image specified in community builder appears.)	auf vorgestellte themen können sie im haupttext ihrer community-startseite zugreifen. vorschaubilder, die sie für vorgestellte themen auswählen, identifizieren sie eindeutig. (diese eindeutigen vorschaubilder werden nur auf der startseite angezeigt. oben auf allen seiten für vorgestellte themen wird das standardmäßige im community builder angegebene bannerbild angezeigt.)
if you clicked save  add objects, select the checkboxes next to the objects you want to add, then click save.	wenn sie auf objekte speichern  hinzufügen geklickt haben, aktivieren sie die kontrollkästchen neben den objekten, die hinzugefügt werden sollen, und klicken sie dann auf speichern.
if you’re using data loader v.30 or later, create a .csv file with columns for user name, user id, forecast type name, forecast type id, quota amount, quota quantity, currency code, and forecast period start date [yyyy-mm-dd or yyyy-mm-ddthh:mm:ss.sssz; for example, 2012–03–01t08:00:00.00z].	wenn sie data loader v.30 oder höher verwenden, erstellen sie eine csv-datei mit spalten für benutzername, benutzer-id, prognosetypname, prognosetyp-id, quotenbetrag, quotenmenge, währungskürzel und startdatum des prognosezeitraums [jjjj-mm-tt oder jjjj-mm-ttthh:mm:ss.sssz, beispielsweise 2012–03–01t08:00:00.00z].
to track salesforce to salesforce activity and updates, create custom reports.	erstellen sie zum nachverfolgen von salesforce-zu-salesforce-aktivitäten und -aktualisierungen benutzerdefinierte berichte.
new password	neues kennwort
object access and field-level security report	bericht "objektzugriff und feldebenensicherheit"
the salesforce record hasn’t been compared with records in the data service.	der salesforce-datensatz wurde nicht mit den datensätzen im daten-service verglichen.
click save. the letterhead detail page appears.	klicken sie auf speichern. daraufhin wird die detailseite für briefköpfe angezeigt.
custom file fields (5 max)	benutzerdefinierte dateifelder (max. 5)
sic code	sic-code
remove user assignments from a permission set	entfernen von benutzerzuweisungen aus einem berechtigungssatz
community setup basics	community-einrichtung – grundlagen
to update settings in the members area and the login  registration area, you must deploy the changes in separate change sets. first update and deploy the members area setting, and then update and deploy the login  registration settings.	um die einstellungen in den bereichen "mitglieder" und "registrierung" zu aktualisieren, müssen sie die änderungen in getrennten änderungssets bereitstellen. aktualisieren sie zuerst die einstellungen im bereich "mitglieder" und stellen sie sie bereit, bevor sie die aktualisierung und bereitstellung der einstellungen für "anmelden  registrierung" durchführen.
returns the error description for the current page if it’s a designated error page for the site and an error exists; otherwise, returns an empty string.	gibt die fehlerbeschreibung für die aktuelle seite zurück, wenn es sich um eine festgelegte fehlerseite für die site handelt und ein fehler vorliegt. andernfalls wird eine leere zeichenfolge zurückgegeben.
supports assigning a user to only one role	unterstützt die zuordnung eines benutzers zu nur einer einzigen rolle.
you can run data loader in batch mode from the command line. see the following topics:	sie können data loader über die befehlszeile im batch-modus ausführen. beachten sie folgende themen:
